Nimi,Puolue,Luottamuselin teksti,Alku,Loppu,Luottamuselimen asema
Ammondt Jukka,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Ammondt Jukka,VIHR,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Ammondt Jukka,VIHR,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Ammondt Jukka,VIHR,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.01.2011,31.12.2012,Jäsen
Ammondt Jukka,VIHR,Kulttuurijaosto,01.01.2011,31.12.2012,Varapuheenjohtaja
Andersson Hennariikka,KOK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Andersson Hennariikka,KOK,Nuorisolautakunta,08.12.2008,31.12.2010,Puheenjohtaja
Andersson Hennariikka,KOK,Ilmasto-ohjelmatyön ohjausryhmä,13.10.2010,22.08.2011,Henkilökohtainen varajäsen
Andersson Hennariikka,KOK,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.01.2011,19.09.2011,Jäsen
Andersson Hennariikka,KOK,Perusturvalautakunta,22.02.2011,19.09.2011,Henkilökohtainen varajäsen
Andersson Hennariikka,KOK,Organisaatiotoimikunta,15.02.2010,26.09.2011,Henkilökohtainen varajäsen
Andersson Hennariikka,KOK,Laajennettu puheenjohtajisto,01.01.2009,02.11.2011,Jäsen
Andersson Hennariikka,KOK,Nuorisojaosto,01.01.2011,02.11.2011,Puheenjohtaja
Andersson Hennariikka,KOK,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Andersson Hennariikka,KOK,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Antikainen Reetta,VAS,Nuorisolautakunta,08.06.2010,31.12.2012,Henkilökohtainen varajäsen
Antikainen Reetta,VAS,Nuorisojaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Antila Sinikka,KD,13. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Anttila Tahvo,KESK,24. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Anttila Tahvo,KESK,Jyväskylän koulutuskuntayhtymävalt.,12.01.2009,26.10.2009,Jäsen
Anttila Tahvo,KESK,Kaupunginvaltuusto,03.11.2008,17.01.2011,4. varajäsen
Anttila Tahvo,KESK,24. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Anttila Tahvo,KESK,24. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Anttila Tahvo,KESK,Kaupunginhallitus,18.01.2011,31.12.2012,Henkilökohtainen varajäsen
Anttila Tahvo,KESK,Kaupunginvaltuusto,18.01.2011,31.12.2012,3. varajäsen
Anttolainen Eeva,SKP,14. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Anttolainen Eeva,SKP,14. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Arnberg Jouni,SDP,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Arnberg Jouni,SDP,33. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Arnberg Jouni,SDP,Päivähoito- ja varhaiskasvatusjaosto,22.01.2009,31.12.2011,Jäsen
Arnberg Jouni,SDP,34. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Arnberg Jouni,SDP,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Arnberg Jouni,SDP,Perusturvalautakunta,08.12.2008,31.12.2012,Jäsen
Arnberg Jouni,SDP,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Arnberg Jouni,SDP,Sotepa/Vammaisneuvosto,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Arnberg Jouni,SDP,K-S shp:n kuntayhtymän yhtymävaltuusto,12.01.2009,31.12.2012,Henkilökohtainen varajäsen
Arnberg Jouni,SDP,Ympäristöterveysjaosto,22.01.2009,31.12.2012,Puheenjohtaja
Arnberg Jouni,SDP,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Arnberg Jouni,SDP,Terveydenhuollon jaosto,18.11.2010,31.12.2012,Jäsen
Arnberg Jouni,SDP,Päivähoito- ja varhaiskasvatustoimikunta,01.01.2012,31.12.2012,Jäsen
Arvaja Eija,SDP,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,31.12.2012,Jäsen
Arvaja Erkki,KD,Kunnan keskusvaalilautakunta,07.07.2008,31.01.2009,1. varajäsen
Arvola Anni-Iita,EI,Viitaniemen alueen aluejk,01.08.2006,31.12.9999,Jäsen
Asikainen Aimo,KESK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Asikainen Aimo,KESK,22. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Asikainen Aimo,KESK,Kaupunginhallitus,03.11.2008,31.12.2010,Henkilökohtainen varajäsen
Asikainen Aimo,KESK,Kaupunkirakennelautakunta,08.12.2008,31.12.2010,Puheenjohtaja
Asikainen Aimo,KESK,Taloustoimikunta,02.02.2009,31.12.2010,Henkilökohtainen varajäsen
Asikainen Aimo,KESK,Kaupunginhallitus,01.01.2011,17.01.2011,Henkilökohtainen varajäsen
Asikainen Aimo,KESK,Kaupunkirakennelautakunta,01.01.2011,21.02.2011,"Pj/krp-,perust-,siv-ja tark"
Asikainen Aimo,KESK,22. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Asikainen Aimo,KESK,Joukkoliikennetoimikunta,03.11.2009,31.12.2011,Puheenjohtaja
Asikainen Aimo,KESK,22. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Asikainen Aimo,KESK,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Asikainen Aimo,KESK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Asikainen Aimo,KESK,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Asikainen Aimo,KESK,Yleiskaavatoimikunta,15.02.2010,31.12.2012,Puheenjohtaja
Asikainen Aimo,KESK,Organisaatiotoimikunta,15.02.2010,31.12.2012,Henkilökohtainen varajäsen
Asikainen Aimo,KESK,Kaupunginhallitus,18.01.2011,31.12.2012,Jäsen
Asikainen Aimo,KESK,Kaupunkirakennelautakunta,28.02.2011,31.12.2012,Edustaja
Asikainen Jouko,KESK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Asikainen Jouko,KESK,Maakuntavaltuusto,11.03.2009,17.05.2010,Henkilökohtainen varajäsen
Asikainen Jouko,KESK,12. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Asikainen Jouko,KESK,Jyväskylän mlk:n historiatoimikunta,27.10.2008,31.12.2011,Puheenjohtaja
Asikainen Jouko,KESK,28. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Asikainen Jouko,KESK,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Asikainen Jouko,KESK,Tulevaisuus- ja kaupunkisuunnittelulautakunta,08.12.2008,31.12.2012,Varapuheenjohtaja
Asikainen Jouko,KESK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Asikainen Jouko,KESK,Maakuntavaltuusto,18.05.2010,31.12.2012,Jäsen
Asikainen Jouko,KESK,Kaupunginhallitus,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Asikainen Mirjami,KD,19. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Asikainen Mirjami,KD,2. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Asikainen Tarja,EI,30. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Asikainen Tarja,EI,30. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Asikainen Tarja,EI,30. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Atheer Marjam,KESK,10. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Atheer Marjam,KESK,10. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Autere Anna,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Autere Anna,VIHR,Tulevaisuus- ja kaupunkisuunnittelulautakunta,08.12.2008,31.12.2012,Jäsen
Autere Anna,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Autere Anna,VIHR,Kulttuurijaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Autere Anna,VIHR,Laajennettu puheenjohtajisto,14.03.2011,31.12.2012,Jäsen
Autere Anna,VIHR,Jyväskylän Seudun Työterveyden jk,01.04.2011,31.12.2012,Puheenjohtaja
Autio Jouni,SDP,Tarkastuslautakunta,01.01.2009,22.02.2010,Henkilökohtainen varajäsen
Autio Niko,EI,2. Vaalilautakunta,08.12.2011,05.02.2012,8. varajäsen
Auvinen Marketta,KESK,20. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Bader Swzan,KESK,18. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Bader Swzan,KESK,18. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Barck Leila,EI,Keskustan alueen aluejk,01.01.2005,31.12.9999,Varajäsen
Bergius Liisa,EI,Kaupunkikuvatoimikunta,01.01.2009,10.04.2012,Henkilökohtainen varajäsen
Bergius Liisa,EI,Kaupunkikuvatoimikunta,11.04.2012,31.12.2012,Jäsen
Blom Jari,SDP,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Blom Jari,SDP,Kaupunginvaltuusto,03.11.2008,06.06.2011,Jäsen
Blom Jari,SDP,4. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Blom Jari,SDP,Jyväskylän koulutuskuntayhtymävalt.,12.01.2009,31.12.2012,Jäsen
Blom Jari,SDP,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Blom Jari,SDP,Laajennettu puheenjohtajisto,01.01.2011,31.12.2012,Jäsen
Blom Jari,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,Vpj/valtuusto ja hallitus
Blom Jari,SDP,Juhlatoimikunta (175-v),07.06.2011,31.12.2012,Jäsen
Blom Jari,SDP,Organisaatiotoimikunta,07.06.2011,31.12.2012,Jäsen
Blomberg Jukka,SDP,Kaupunginvaltuusto,03.11.2008,17.05.2010,10. varajäsen
Blomberg Jukka,SDP,Liikuntalautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Blomberg Jukka,SDP,Kaupunginvaltuusto,18.05.2010,06.06.2011,9. varajäsen
Blomberg Jukka,SDP,Liikuntajaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Blomberg Jukka,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,8. varajäsen
Boström Raija-Liisa,VIHR,39. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Boström Raija-Liisa,VIHR,39. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Boström Raija-Liisa,VIHR,39. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Burman Esko,VAS,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Colliander Jari,KESK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Colliander Jari,KESK,Kaupunginhallitus,03.11.2008,31.12.2010,Jäsen
Colliander Jari,KESK,Kaupunkirakennelautakunta,01.01.2009,31.12.2010,Edustaja
Colliander Jari,KESK,Taloustoimikunta,02.02.2009,31.12.2010,Jäsen
Colliander Jari,KESK,Kaupunkirakennelautakunta,17.01.2011,27.02.2011,Edustaja
Colliander Jari,KESK,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Colliander Jari,KESK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Colliander Jari,KESK,Maakuntavaltuusto,11.03.2009,31.12.2012,Henkilökohtainen varajäsen
Colliander Jari,KESK,Organisaatiotoimikunta,15.02.2010,31.12.2012,Jäsen
Colliander Jari,KESK,Kaupunginhallitus,01.01.2011,31.12.2012,Jäsen
Colliander Jari,KESK,Altek Aluetekniikan johtokunta,17.01.2011,31.12.2012,Edustaja
Damskägg Yrjö,KESK,Kulttuurilautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Damskägg Yrjö,KESK,Päivähoito- ja varhaiskasvatusjaosto,19.11.2010,28.04.2011,Henkilökohtainen varajäsen
Damskägg Yrjö,KESK,Päivähoito- ja varhaiskasvatusjaosto,29.04.2011,31.12.2011,Jäsen
Damskägg Yrjö,KESK,27. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Damskägg Yrjö,KESK,Kulttuurijaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Damskägg Yrjö,KESK,Sivistyslautakunta,22.03.2011,31.12.2012,Jäsen
