Nimi,Puolue,Luottamuselin teksti,Alku,Loppu,Luottamuselimen asema
Mäki Silba,KD,23. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Mäki Silba,KD,23. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Mäki Silba,KD,23. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Mäkinen Annikki,KESK,36. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Mäkinen Annikki,KESK,36. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Mäkinen Annikki,KESK,36. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Mäkinen Arja,SDP,Lukiokoulutuksen johtokunta,01.01.2005,31.12.9999,Varajäsen
Mäkinen Atte,VIHR,4. Vaalitoimikunta,27.04.2009,07.06.2009,3. varajäsen
Mäkinen Atte,VIHR,10. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Mäkinen Eila,VIHR,22. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Mäkinen Eila,VIHR,22. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Mäkinen Eila,VIHR,22. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Mäkinen Eila,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,7. varajäsen
Mäkinen Eila,VIHR,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Jäsen
Mäkinen Eila,VIHR,Jyväskylän koulutuskuntayhtymävalt.,12.01.2009,31.12.2012,Jäsen
Mäkinen Eila,VIHR,Yleiskaavatoimikunta,15.02.2010,31.12.2012,Jäsen
Mäkinen Eila,VIHR,Ympäristöterveysjaosto,17.09.2010,31.12.2012,Henkilökohtainen varajäsen
Mäkinen Laura,KOK,K-S opiskelija-asuntosäätiön valtuuskunta,17.03.2009,31.12.2009,Henkilökohtainen varajäsen
Mäkinen Laura,KOK,Nuorisolautakunta,22.09.2009,31.12.2010,Henkilökohtainen varajäsen
Mäkinen Laura,KOK,Nuorisojaosto,01.01.2011,02.11.2011,Henkilökohtainen varajäsen
Mäkinen Laura,KOK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2010,31.12.2011,Henkilökohtainen varajäsen
Mäkinen Marja-Riitta,KESK,39. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Mäkinen Mikko,SDP,19. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Mäkinen Minna,PS,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Mäkinen Minna,PS,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Mäkinen Minna,PS,Kiinteistötoimitusten uskotut miehet,12.01.2009,31.12.2012,Jäsen
Mäkinen Minna,PS,Maakuntavaltuusto,11.03.2009,31.12.2012,Henkilökohtainen varajäsen
Mäkinen Minna,PS,Organisaatiotoimikunta,15.02.2010,31.12.2012,Jäsen
Mäkinen Minna,PS,Laajennettu puheenjohtajisto,16.05.2011,31.12.2012,Jäsen
Mäkinen Pentti,SDP,Kaupunginvaltuusto,03.11.2008,17.05.2010,9. varajäsen
Mäkinen Pentti,SDP,Kaupunginvaltuusto,18.05.2010,06.06.2011,8. varajäsen
Mäkinen Pentti,SDP,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Jäsen
Mäkinen Pentti,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,7. varajäsen
Mäkinen Riitta,SDP,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Mäkinen Riitta,SDP,Perusturvalautakunta,08.12.2008,31.12.2010,Puheenjohtaja
Mäkinen Riitta,SDP,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Mäkinen Riitta,SDP,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Mäkinen Riitta,SDP,Työllisyysjaosto,22.01.2009,31.12.2012,Jäsen
Mäkinen Riitta,SDP,Maakuntavaltuusto,11.03.2009,31.12.2012,Henkilökohtainen varajäsen
Mäkinen Riitta,SDP,Organisaatiotoimikunta,15.02.2010,31.12.2012,Henkilökohtainen varajäsen
Mäkinen Riitta,SDP,Perusturvalautakunta,01.01.2011,31.12.2012,"Pj/krp-,perust-,siv-ja tark"
Mäkinen Terttu,SDP,Kaupunkirakennelautakunta,08.12.2008,13.12.2010,Jäsen
Mäkinen Terttu,SDP,Yleiskaavatoimikunta,15.02.2010,20.12.2010,Jäsen
Mäkinen Terttu,SDP,Palokan terv.huollon kuntayht. yhtymähall.,01.01.2009,31.12.2010,Henkilökohtainen varajäsen
Mäkinen Tuija,VIHR,Kaupunginhallitus,03.11.2008,31.12.2010,Jäsen
Mäkinen Tuija,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2010,Jäsen
Mäkinen Tuija,VIHR,Liikuntalautakunta,01.01.2009,31.12.2010,Edustaja
Mäkinen Tuija,VIHR,Taloustoimikunta,02.02.2009,31.12.2010,Jäsen
Mäkinen Tuija,VIHR,Organisaatiotoimikunta,15.02.2010,31.01.2011,Henkilökohtainen varajäsen
Mäkinen Tuija,VIHR,Tilapalvelun johtokunta,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Mäkinen Tuija,VIHR,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Mäkinen Tuija,VIHR,Kaupunginvaltuusto,01.01.2011,31.12.2012,Vpj/valtuusto ja hallitus
Mäkinen Tuija,VIHR,Juhlatoimikunta (175-v),01.01.2011,31.12.2012,Jäsen
Mäkinen Tuija,VIHR,Organisaatiotoimikunta,01.02.2011,31.12.2012,Jäsen
Mälkki Merja,EI,Viitaniemen alueen aluejk,01.01.2005,31.12.9999,Varajäsen
Mänttäri Keijo,VAS,1. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Mänttäri Matti,EI,Kuokkalan alueen aluejk,01.09.2008,30.05.2009,
Mänttäri-van der Kuip Maija,VAS,17. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Mänttäri-van der Kuip Maija,VAS,17. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Mänttäri-van der Kuip Maija,VAS,Sivistyslautakunta,09.11.2010,31.12.2012,Henkilökohtainen varajäsen
Mäntyjärvi Hannele,KESK,Ilmasto-ohjelmatyön ohjausryhmä,13.10.2010,22.08.2011,Henkilökohtainen varajäsen
Mäntyjärvi Hannele,KESK,Yleiskaavatoimikunta,15.02.2010,12.09.2011,Jäsen
Mäntyjärvi Hannele,KESK,Korpilahden aluelautakunta,08.12.2008,19.09.2011,Henkilökohtainen varajäsen
Mäntyjärvi Hannele,KESK,Maaseutulautakunta,08.12.2008,19.09.2011,Puheenjohtaja
Mäntyjärvi Hannele,KESK,Laajennettu puheenjohtajisto,01.01.2009,19.09.2011,Jäsen
Mäntyjärvi Hannele,KESK,Tiejaosto,05.11.2009,31.12.2012,Puheenjohtaja
Mäntyjärvi Hannu,KESK,Kaupunginhallitus,23.02.2010,31.12.2010,Henkilökohtainen varajäsen
Mäntylä Hannu,EI,Vanhusneuvosto,01.01.2009,31.12.2012,Jäsen
Määttä Paula,SDP,Kaupunginvaltuusto,03.11.2008,17.05.2010,14. varajäsen
Määttä Paula,SDP,Kaupunginvaltuusto,18.05.2010,06.06.2011,13. varajäsen
Määttä Paula,SDP,Korpilahden aluelautakunta,08.12.2008,31.12.2012,Puheenjohtaja
Määttä Paula,SDP,Kaupunkirakennelautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Määttä Paula,SDP,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Määttä Paula,SDP,Sotepa/Vammaisneuvosto,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Määttä Paula,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,12. varajäsen
Najafi Hossein,SKP,Kaupunginvaltuusto,03.11.2008,31.12.2012,1. varajäsen
Napari Leevi,KD,Liikuntalautakunta,24.08.2010,31.12.2010,Jäsen
Napari Leevi,KD,Sivistyslautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Napari Leevi,KD,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Napari Leevi,KD,Liikuntajaosto,01.01.2011,31.12.2012,Jäsen
Naskinen Satu,SDP,Käräjäoikeuden lautamiehet,23.01.2006,31.03.2009,Jäsen
Naskinen Satu,SDP,Käräjäoikeuden lautamiehet,01.04.2009,21.09.2009,Jäsen
Naskinen Satu,SDP,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2008,31.12.2009,Varajäsen
Naskinen Satu,SDP,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2010,31.12.2011,Henkilökohtainen varajäsen
Naukkarinen Aimo,VIHR,20. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Naukkarinen Aimo,VIHR,20. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Naukkarinen Aimo,VIHR,Sivistyslautakunta,08.12.2008,31.12.2012,Jäsen
Naumanen Elina,EI,Säynätsalon alueen aluejk,01.08.2008,30.05.2009,Varajäsen
Nerg Raimo,SKP,29. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Nerg Raimo,SKP,29. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Nerg Raimo,SKP,29. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Neulanen Riina,EI,30. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Neulanen Riina,EI,30. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Nevanpää Tiina,EI,Kilpisen alueen aluejk,01.01.2005,31.12.9999,Jäsen
Nevanpää Tom,KESK,Kaupunginvaltuusto,03.11.2008,17.01.2011,3. varajäsen
Nevanpää Tom,KESK,Sivistyslautakunta,08.12.2008,21.03.2011,Jäsen
Nevanpää Tom,KESK,Päivähoito- ja varhaiskasvatusjaosto,22.01.2009,28.04.2011,Jäsen
Nevanpää Tom,KESK,Joukkoliikennetoimikunta,22.03.2011,31.12.2011,Jäsen
Nevanpää Tom,KESK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Nevanpää Tom,KESK,Jyväskylän koulutuskuntayhtymävalt.,27.10.2009,31.12.2012,Jäsen
Nevanpää Tom,KESK,Organisaatiotoimikunta,15.02.2010,31.12.2012,Jäsen
Nevanpää Tom,KESK,Kaupunginvaltuusto,18.01.2011,31.12.2012,2. varajäsen
Nevanpää Tom,KESK,Kaupunkirakennelautakunta,22.02.2011,31.12.2012,"Pj/krp-,perust-,siv-ja tark"
Nevanpää Tom,KESK,Yleiskaavatoimikunta,30.05.2011,31.12.2012,Jäsen
Nevanpää Tom,KESK,Joukkoliikennelautakunta,01.01.2012,31.12.2012,Puheenjohtaja
Nevanpää Tom,KESK,Asuntomessutoimikunta,26.04.2011,31.12.2014,Jäsen
Niekka Pentti,KOK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Niekka Pentti,KOK,2. Vaalitoimikunta,27.04.2009,07.06.2009,4. varajäsen
Niekka Pentti,KOK,2. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Niekka Pentti,KOK,2. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Niekka Pentti,KOK,2. Vaalitoimikunta,24.03.2011,17.04.2011,4. varajäsen
Niekka Pentti,KOK,2. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Niekka Pentti,KOK,2. Vaalitoimikunta,08.12.2011,05.02.2012,4. varajäsen
Niekka Pentti,KOK,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Niekka Pentti,KOK,Perusturvalautakunta,08.12.2008,31.12.2012,Jäsen
Niekka Pentti,KOK,K-S shp:n kuntayhtymän yhtymävaltuusto,12.01.2009,31.12.2012,Henkilökohtainen varajäsen
Niekka Pentti,KOK,Jyväskylän koulutuskuntayhtymävalt.,12.01.2009,31.12.2012,Henkilökohtainen varajäsen
Niekka Pentti,KOK,Työllisyysjaosto,22.01.2009,31.12.2012,Henkilökohtainen varajäsen
Niekka Pentti,KOK,Ympäristöterveysjaosto,22.01.2009,31.12.2012,Jäsen
Niekka Pentti,KOK,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Niekka Pentti,KOK,Organisaatiotoimikunta,25.04.2010,31.12.2012,Henkilökohtainen varajäsen
Nieminen Harri,VAS,Tilapalvelun johtokunta,01.01.2009,31.12.2012,Jäsen
Nieminen Harri,VAS,12. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Nieminen Harri,VAS,12. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Nieminen Harri,VAS,12. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Nieminen Harri,VAS,Kaupunginvaltuusto,03.11.2008,31.12.2012,4. varajäsen
Nieminen Harri,VAS,Tilapalvelun johtokunta,01.01.2009,31.12.2012,Jäsen
Nieminen Harri,VAS,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Nieminen Heidi,SDP,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Nieminen Heidi,SDP,39. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Nieminen Heidi,SDP,Kaupunginhallitus,03.11.2008,31.12.2010,Jäsen
Nieminen Heidi,SDP,Korpilahden aluelautakunta,01.01.2009,31.12.2010,Edustaja
Nieminen Heidi,SDP,Taloustoimikunta,02.02.2009,31.12.2010,Jäsen
Nieminen Heidi,SDP,Korpilahden kunnan historiatoimikunta,01.01.2008,31.12.2012,Puheenjohtaja
Nieminen Heidi,SDP,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Nieminen Heidi,SDP,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Nieminen Heidi,SDP,Maakuntavaltuusto,11.03.2009,31.12.2012,Henkilökohtainen varajäsen
Nieminen Heidi,SDP,Kaupunginhallitus,01.01.2011,31.12.2012,Jäsen
Nieminen Heidi,SDP,Korpilahden aluelautakunta,17.01.2011,31.12.2012,Edustaja
Nieminen Nina,SDP,Talouspalvelukeskuksen johtokunta,19.01.2009,10.08.2009,Jäsen
Nieminen Tapani,KESK,20. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Nieminen Tapani,KESK,20. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Nieminen Tapani,KESK,20. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Niininen Raimo,VAS,19. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Niininen Raimo,VAS,19. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Niininen Raimo,VAS,19. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Niinistö Karoliina,KOK,24. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Niinistö Karoliina,KOK,Nuorisojaosto,02.11.2011,31.12.2012,Jäsen
Niittonen Seppo,KESK,23. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Niittonen Seppo,KESK,23. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Niittonen Seppo,KESK,23. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Niittonen Seppo,KESK,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,31.12.2012,Jäsen
Niittonen Seppo,KESK,Kiinteistötoimitusten uskotut miehet,12.01.2009,31.12.2012,Jäsen
Nikkinen Lasse,KD,Vanhusneuvosto,01.01.2009,31.12.2012,Jäsen
Niskanen Mika,KOK,13. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Niskanen Mika,KOK,17. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Niskanen Mika,KOK,Perusturvalautakunta,08.06.2010,31.12.2012,Henkilökohtainen varajäsen
Niskanen Mika,KOK,Työllisyysjaosto,17.09.2010,31.12.2012,Jäsen
Niskanen Mika,KOK,Terveydenhuollon jaosto,18.11.2010,31.12.2012,Henkilökohtainen varajäsen
Nissinen Eino,KESK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Nissinen Eino,KESK,Kaupunginhallitus,03.11.2008,31.12.2010,Jäsen
Nissinen Eino,KESK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2010,Jäsen
Nissinen Eino,KESK,Altek Aluetekniikan johtokunta,01.01.2009,31.12.2010,Edustaja
Nissinen Eino,KESK,Taloustoimikunta,02.02.2009,31.12.2010,Jäsen
Nissinen Eino,KESK,Organisaatiotoimikunta,15.02.2010,10.01.2011,Henkilökohtainen varajäsen
Nissinen Eino,KESK,Kaupunginvaltuusto,03.11.2008,17.01.2011,Jäsen
Nissinen Eino,KESK,Maakuntavaltuusto,11.03.2009,17.01.2011,Henkilökohtainen varajäsen
Nissinen Eino,KESK,Kaupunginhallitus,01.01.2011,17.01.2011,Jäsen
Nissinen Kari,KESK,Tulevaisuus- ja kaupunkisuunnittelulautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Nisu Maarit,KD,Ympäristöterveysjaosto,01.01.2011,31.12.2012,Jäsen
Nokelainen Tuula,KESK,28. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Nokelainen Tuula,KESK,28. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Nokelainen Tuula,KESK,28. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Nordman Peter,KOK,22. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Nordman Peter,KOK,22. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Noronen Riitta,SDP,Terveydenhuollon jaosto,18.11.2010,31.12.2012,Jäsen
Nuijanmaa Jani,EI,29. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Nuijanmaa Jani,EI,29. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Nuijanmaa Jani,EI,29. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Nurmi Marianne,KOK,12. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Nurmi Marianne,KOK,12. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Nurmikolu Mika,VIHR,1. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Nurminen Raili,EI,Jyväskylän Seudun Työterveyden jk,06.06.2011,31.12.2012,
Nurminen Raili,EI,Jyväskylän Seudun Työterveyden jk,16.08.2011,31.12.2012,
Nuuja Ismo,KESK,Ilmasto-ohjelmatyön ohjausryhmä,13.09.2010,22.08.2011,Jäsen
Nyberg Tapani,SDP,6. Vaalitoimikunta,27.04.2009,07.06.2009,Jäsen
Nyberg Tapani,SDP,38. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Nyberg Tapani,SDP,6. Vaalitoimikunta,24.03.2011,17.04.2011,Jäsen
Nyberg Tapani,SDP,38. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Nyberg Tapani,SDP,Korpilahden aluelautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Nyberg Tapani,SDP,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Nykänen Anne,KD,12. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Nykänen Anne,KD,12. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Nykänen Irma,KD,5. Vaalitoimikunta,27.04.2009,07.06.2009,2. varajäsen
Nykänen Irma,KD,5. Vaalitoimikunta,24.03.2011,17.04.2011,2. varajäsen
Nykänen Irma,KD,5. Vaalitoimikunta,08.12.2011,05.02.2012,2. varajäsen
Nykänen Juhani,KD,30. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Nykänen Juhani,KD,29. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Nykänen Juhani,KD,29. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Nykänen Siw,RKP,Kaupunginvaltuusto,03.11.2008,17.01.2011,1. varajäsen
Nykänen Siw,RKP,Perusturvalautakunta,08.12.2008,31.12.2012,Jäsen
Nykänen Siw,RKP,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Nykänen Siw,RKP,Työllisyysjaosto,22.01.2009,31.12.2012,Puheenjohtaja
Nykänen Siw,RKP,Ympäristöterveysjaosto,22.01.2009,31.12.2012,Henkilökohtainen varajäsen
Nykänen Siw,RKP,Kaupunginvaltuusto,18.01.2011,31.12.2012,Jäsen
Nyman Pia,KOK,32. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Nyman Pia,KOK,Palokan terv.huollon kuntayht. yhtymähall.,01.01.2009,31.12.2010,Henkilökohtainen varajäsen
Nyman Pia,KOK,Perusturvalautakunta,08.12.2008,21.02.2011,Henkilökohtainen varajäsen
Nyman Pia,KOK,30. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Nyman Pia,KOK,Päivähoito- ja varhaiskasvatusjaosto,18.03.2011,31.12.2011,Puheenjohtaja
Nyman Pia,KOK,30. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Nyman Pia,KOK,Työllisyysjaosto,22.01.2009,31.12.2012,Jäsen
Nyman Pia,KOK,Perusturvalautakunta,22.02.2011,31.12.2012,Jäsen
Nyman Pia,KOK,Laajennettu puheenjohtajisto,18.03.2011,31.12.2012,Jäsen
Nyman Pia,KOK,Sotepa/Vammaisneuvosto,18.03.2011,31.12.2012,Henkilökohtainen varajäsen
Nyman Pia,KOK,Päivähoito- ja varhaiskasvatustoimikunta,01.01.2012,31.12.2012,Puheenjohtaja
Närhi Anne,KESK,Perusturvalautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Närhi Tanja,VIHR,22. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Närhi Tanja,VIHR,21. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Närhi Tanja,VIHR,Käräjäoikeuden lautamiehet,01.04.2009,22.08.2011,Jäsen
Näsi Dorrit,EI,35. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Oikari Kaarin,VAS,20. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Oikari Kaarin,VAS,20. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Oikari Kaarin,VAS,Vanhusneuvosto,01.01.2009,31.12.2012,Jäsen
Oikarinen Leila,SKP,10. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Oikarinen Leila,SKP,6. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Oikarinen Leila,SKP,6. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Oittinen Riitta,SDP,21. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Oittinen Riitta,SDP,21. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Oittinen Riitta,SDP,21. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Ojala Kauko,VAS,5. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Ojala Kauko,VAS,5. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Ojala Kauko,VAS,5. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Ojala Kimmo,SDP,Liikuntajaosto,14.09.2011,31.12.2012,Henkilökohtainen varajäsen
Ojaluoto Raisa,VIHR,23. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Ojanen Elina,VAS,14. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Ojanen Elina,VAS,14. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Ojanen Elina,VAS,14. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Oksanen Aulis,KESK,5. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Oksanen Johanna,KOK,Nuorisojaosto,21.03.2012,31.12.2012,Henkilökohtainen varajäsen
Oksanen Mikko,KOK,Kylän Kattauksen johtokunta,19.01.2009,26.04.2010,Henkilökohtainen varajäsen
Oksanen Mikko,KOK,Kylän Kattauksen johtokunta,27.04.2010,31.12.2012,Jäsen
Oksanen Ritva,SDP,13. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Oksanen Ritva,SDP,13. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Oksanen Ritva,SDP,13. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Olin Kalevi,SDP,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Olin Kalevi,SDP,Kaupunginvaltuusto,03.11.2008,31.12.2010,2. varapuheenjohtaja
Olin Kalevi,SDP,Taloustoimikunta,02.02.2009,31.12.2010,Jäsen
Olin Kalevi,SDP,Laajennettu puheenjohtajisto,01.01.2009,06.06.2011,Jäsen
Olin Kalevi,SDP,Maakuntavaltuusto,11.03.2009,06.06.2011,Jäsen
Olin Kalevi,SDP,Organisaatiotoimikunta,15.02.2010,06.06.2011,Jäsen
Olin Kalevi,SDP,Juhlatoimikunta (175-v),01.06.2010,06.06.2011,Jäsen
Olin Kalevi,SDP,Kaupunginvaltuusto,01.01.2011,06.06.2011,Vpj/valtuusto ja hallitus
Paakkari Laura,KESK,17. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Paakkinen Petja,VIHR,15. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Paakkinen Petja,VIHR,16. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Paananen Eero,EI,15. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Paananen Eero,PS,15. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Paananen Eero,EI,15. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Paananen Eero,PS,15. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Paananen Eero,EI,15. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Paananen Eero,PS,15. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Paananen Eero,EI,Organisaatiotoimikunta,15.02.2010,31.12.2012,Henkilökohtainen varajäsen
Paananen Eero,PS,Organisaatiotoimikunta,15.02.2010,31.12.2012,Henkilökohtainen varajäsen
Paananen Heidi,VIHR,Kunnan keskusvaalilautakunta,07.07.2008,31.01.2009,Jäsen
Paananen Heidi,VIHR,Keskusvaalilautakunta,03.11.2008,31.12.2012,Jäsen
Paananen Jukka,VIHR,24. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Paananen Jukka,VIHR,24. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Paananen Jukka,VIHR,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Paananen Taina,VIHR,1. Vaalitoimikunta,27.04.2009,07.06.2009,3. varajäsen
Paananen Taina,VIHR,12. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Paananen Virve,SDP,35. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Pahajoki Hannu,VAS,1. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Pahajoki Hannu,VAS,1. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Pahajoki Hannu,VAS,1. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Pajala Pekka,KOK,Tarkastuslautakunta,01.01.2009,24.08.2009,Jäsen
Pajala Pekka,KOK,Tarkastuslautakunta/III-jaosto,02.02.2009,24.08.2009,Puheenjohtaja
